V,E,T(n) fibo
1375.0, 944625.0, 84.351133
1375.0, 944625.0, 38.993768
1375.0, 944625.0, 74.23417
1375.0, 944625.0, 50.959073
1375.0, 944625.0, 76.227624
1375.0, 944625.0, 40.611674
1375.0, 944625.0, 74.527179
1375.0, 944625.0, 24.521092
1375.0, 944625.0, 34.680373
1500.0, 1124250.0, 12.923566
1500.0, 1124250.0, 81.262337
1500.0, 1124250.0, 74.965528
1500.0, 1124250.0, 103.942798
1500.0, 1124250.0, 12.138257
1500.0, 1124250.0, 97.521459
1500.0, 1124250.0, 11.489872
1500.0, 1124250.0, 68.815597
1500.0, 1124250.0, 145.173147
1500.0, 1124250.0, 91.900014
1500.0, 1124250.0, 4.593074
1500.0, 1124250.0, 22.24664
1500.0, 1124250.0, 161.925491
1500.0, 1124250.0, 8.502373
1500.0, 1124250.0, 30.333334
1500.0, 1124250.0, 16.560733
1500.0, 1124250.0, 136.959517
1500.0, 1124250.0, 8.015205
1500.0, 1124250.0, 100.610816
1500.0, 1124250.0, 22.792382
1500.0, 1124250.0, 80.780684
1500.0, 1124250.0, 50.751884
1500.0, 1124250.0, 39.096885
1500.0, 1124250.0, 130.71686
1500.0, 1124250.0, 103.883557
1500.0, 1124250.0, 54.512026
1500.0, 1124250.0, 142.096451
1500.0, 1124250.0, 54.203346
1500.0, 1124250.0, 60.644626
1500.0, 1124250.0, 148.565741
1500.0, 1124250.0, 172.342828
1500.0, 1124250.0, 63.317971
1500.0, 1124250.0, 29.773736
1500.0, 1124250.0, 44.725774
1500.0, 1124250.0, 150.580344
1500.0, 1124250.0, 85.759939
1500.0, 1124250.0, 106.964302
1500.0, 1124250.0, 44.772099
1500.0, 1124250.0, 137.590814
1500.0, 1124250.0, 114.38149
1625.0, 1319500.0, 212.359354
1625.0, 1319500.0, 263.32794
1625.0, 1319500.0, 29.335582
1625.0, 1319500.0, 119.170091
1625.0, 1319500.0, 174.121415
1625.0, 1319500.0, 152.370107
1625.0, 1319500.0, 175.438763
1625.0, 1319500.0, 64.888615
1625.0, 1319500.0, 79.424236
1625.0, 1319500.0, 29.474248
1625.0, 1319500.0, 30.906569
1625.0, 1319500.0, 110.915193
1625.0, 1319500.0, 94.378532
1625.0, 1319500.0, 247.852858
1625.0, 1319500.0, 129.662659
1625.0, 1319500.0, 84.537605
1625.0, 1319500.0, 20.118573
1625.0, 1319500.0, 26.709522
1625.0, 1319500.0, 134.994447
1625.0, 1319500.0, 74.217107
1625.0, 1319500.0, 76.568723
1625.0, 1319500.0, 102.455604
1625.0, 1319500.0, 52.209588
1625.0, 1319500.0, 263.476742
1625.0, 1319500.0, 38.607874
1625.0, 1319500.0, 79.718235
1625.0, 1319500.0, 31.057338
1625.0, 1319500.0, 96.150496
1625.0, 1319500.0, 52.428263
1625.0, 1319500.0, 51.648226
1625.0, 1319500.0, 39.750651
1625.0, 1319500.0, 45.807301
1625.0, 1319500.0, 154.990739
1625.0, 1319500.0, 55.61764
1625.0, 1319500.0, 129.022935
1625.0, 1319500.0, 135.336172
1625.0, 1319500.0, 21.879749
1625.0, 1319500.0, 227.634043
1625.0, 1319500.0, 133.957984
1625.0, 1319500.0, 97.660261
1750.0, 1530375.0, 197.162208
1750.0, 1530375.0, 179.304815
1750.0, 1530375.0, 208.786217
1750.0, 1530375.0, 215.80682
1750.0, 1530375.0, 357.042999
1750.0, 1530375.0, 193.755158
1750.0, 1530375.0, 89.71864
1750.0, 1530375.0, 84.261812
1750.0, 1530375.0, 96.074427
1750.0, 1530375.0, 10.211833
1750.0, 1530375.0, 176.548847
1750.0, 1530375.0, 163.530143
1750.0, 1530375.0, 173.572383
1750.0, 1530375.0, 192.366186
1750.0, 1530375.0, 100.341848
1750.0, 1530375.0, 90.344922
1750.0, 1530375.0, 95.446419
1750.0, 1530375.0, 35.157864
1750.0, 1530375.0, 230.385618
1750.0, 1530375.0, 119.921595
1750.0, 1530375.0, 126.903562
1750.0, 1530375.0, 255.986763
1750.0, 1530375.0, 196.400833
1750.0, 1530375.0, 222.523142
1750.0, 1530375.0, 47.760952
1750.0, 1530375.0, 210.19046
1750.0, 1530375.0, 8.571342
1750.0, 1530375.0, 213.427497
1750.0, 1530375.0, 73.127392
1750.0, 1530375.0, 74.279505
1750.0, 1530375.0, 185.960809
1750.0, 1530375.0, 23.670623
1750.0, 1530375.0, 37.064037
1750.0, 1530375.0, 218.602344
1750.0, 1530375.0, 170.527882
1750.0, 1530375.0, 208.111466
1750.0, 1530375.0, 163.834435
1750.0, 1530375.0, 77.072352
