V,E,T(n) binary
1500.0, 1124250.0, 15.66421
1500.0, 1124250.0, 47.849281
1500.0, 1124250.0, 97.545982
1600.0, 1279200.0, 9.397308
1600.0, 1279200.0, 133.309318
1600.0, 1279200.0, 41.55802
1600.0, 1279200.0, 111.365444
1600.0, 1279200.0, 65.975539
1600.0, 1279200.0, 85.840203
1600.0, 1279200.0, 78.637215
1600.0, 1279200.0, 66.905895
1600.0, 1279200.0, 2000.817292
1600.0, 1279200.0, 35.337029
1600.0, 1279200.0, 124.39512
1600.0, 1279200.0, 141.520874
1600.0, 1279200.0, 120.004958
1600.0, 1279200.0, 38.483585
1600.0, 1279200.0, 74.700285
1600.0, 1279200.0, 12.289581
1600.0, 1279200.0, 23.808767
1600.0, 1279200.0, 55.885226
1600.0, 1279200.0, 120.409823
1600.0, 1279200.0, 44.529341
1600.0, 1279200.0, 162.217008
1600.0, 1279200.0, 130.738527
1600.0, 1279200.0, 15.152755
1600.0, 1279200.0, 146.786206
1600.0, 1279200.0, 95.209572
1600.0, 1279200.0, 101.415932
1600.0, 1279200.0, 92.13874
1600.0, 1279200.0, 46.08481
1600.0, 1279200.0, 82.07869
1600.0, 1279200.0, 122.073732
1600.0, 1279200.0, 24.544011
1600.0, 1279200.0, 124.107531
1600.0, 1279200.0, 87.52204
1600.0, 1279200.0, 9.693422
1600.0, 1279200.0, 96.597577
1600.0, 1279200.0, 60.176088
1600.0, 1279200.0, 90.290033
1600.0, 1279200.0, 87.84824
1600.0, 1279200.0, 60.358094
1600.0, 1279200.0, 30.470975
1700.0, 1444150.0, 40.709374
1700.0, 1444150.0, 106.524898
1700.0, 1444150.0, 80.645339
1700.0, 1444150.0, 69.734897
1700.0, 1444150.0, 127.529841
1700.0, 1444150.0, 27.872053
1700.0, 1444150.0, 103.000364
1700.0, 1444150.0, 350.037743
1700.0, 1444150.0, 32.505515
1700.0, 1444150.0, 90.731677
1700.0, 1444150.0, 68.092707
1700.0, 1444150.0, 206.681087
1700.0, 1444150.0, 140.746065
1700.0, 1444150.0, 158.531901
1700.0, 1444150.0, 54.972608
1700.0, 1444150.0, 34.04598
1700.0, 1444150.0, 70.105182
1700.0, 1444150.0, 59.7653
1700.0, 1444150.0, 231.802818
1700.0, 1444150.0, 225.252283
1700.0, 1444150.0, 200.022244
1700.0, 1444150.0, 195.529453
1700.0, 1444150.0, 141.472407
1700.0, 1444150.0, 145.519316
1700.0, 1444150.0, 113.367915
1700.0, 1444150.0, 63.297783
1700.0, 1444150.0, 51.848325
1700.0, 1444150.0, 89.866328
1700.0, 1444150.0, 84.407486
1700.0, 1444150.0, 141.416515
1700.0, 1444150.0, 121.584215
1700.0, 1444150.0, 31.284131
1700.0, 1444150.0, 130.486136
1700.0, 1444150.0, 25.493479
1700.0, 1444150.0, 99.08337
1700.0, 1444150.0, 76.515255
1700.0, 1444150.0, 98.98363
1700.0, 1444150.0, 95.358125
1700.0, 1444150.0, 42.607838
1700.0, 1444150.0, 72.383383
1800.0, 1619100.0, 37.028007
1800.0, 1619100.0, 145.707699
1800.0, 1619100.0, 107.720017
1800.0, 1619100.0, 7.34434
1800.0, 1619100.0, 33.232321
1800.0, 1619100.0, 243.473595
1800.0, 1619100.0, 94.933251
1800.0, 1619100.0, 8.698191
1800.0, 1619100.0, 170.513411
1800.0, 1619100.0, 40.932286
1800.0, 1619100.0, 94.137618
1800.0, 1619100.0, 28.535165
1800.0, 1619100.0, 137.263391
1800.0, 1619100.0, 159.810781
1800.0, 1619100.0, 236.050296
1800.0, 1619100.0, 97.812546
1800.0, 1619100.0, 92.240734
1800.0, 1619100.0, 229.255505
1800.0, 1619100.0, 247.784999
1800.0, 1619100.0, 79.255958
1800.0, 1619100.0, 151.32728
1800.0, 1619100.0, 13.838688
1800.0, 1619100.0, 23.86794
1800.0, 1619100.0, 251.063524
1800.0, 1619100.0, 159.636632
1800.0, 1619100.0, 231.437286
1800.0, 1619100.0, 134.546942
1800.0, 1619100.0, 88.333356
1800.0, 1619100.0, 172.368254
1800.0, 1619100.0, 159.966967
1800.0, 1619100.0, 54.869789
1800.0, 1619100.0, 87.87347
1800.0, 1619100.0, 77.279763
1800.0, 1619100.0, 14.811407
1800.0, 1619100.0, 51.171371
1800.0, 1619100.0, 147.716296
1800.0, 1619100.0, 157.530418
1800.0, 1619100.0, 22.865235
1800.0, 1619100.0, 119.739199
1800.0, 1619100.0, 79.030214
